step,time_s,red_score,looming,visible,attack,mode,danger_score,forward_velocity,dragonfly_state
2292,0.22919999999999108,0.0,0.0,False,False,normal,0.0,9.296116785739532,rest
2293,0.22929999999999107,0.0,0.0,False,False,normal,0.0,9.29639672125694,rest
2294,0.22939999999999106,0.0,0.0,False,False,normal,0.0,9.296674800373506,rest
2295,0.22949999999999104,0.0,0.0,False,False,normal,0.0,9.296953512613255,rest
2296,0.22959999999999103,0.0,0.0,False,False,normal,0.0,9.297234623573715,rest
2297,0.22969999999999102,0.0,0.0,False,False,normal,0.0,9.297518957733498,rest
2298,0.229799999999991,0.0,0.0,False,False,normal,0.0,9.297805046004576,rest
2299,0.229899999999991,0.0,0.0,False,False,normal,0.0,9.298091342172691,rest
2300,0.229999999999991,0.0,0.0,False,False,normal,0.0,9.29837572342929,rest
2301,0.23009999999999098,0.0,0.0,False,False,normal,0.0,9.298656929929045,rest
2302,0.23019999999999097,0.0,0.0,False,False,normal,0.0,9.298933654536338,rest
2303,0.23029999999999096,0.0,0.0,False,False,normal,0.0,9.299206345997534,rest
2304,0.23039999999999095,0.0,0.0,False,False,normal,0.0,9.299477614819304,rest
2305,0.23049999999999093,0.0,0.0,False,False,normal,0.0,9.299749773584585,rest
2306,0.23059999999999092,0.0,0.0,False,False,normal,0.0,9.30002390218994,rest
2307,0.2306999999999909,0.0,0.0,False,False,normal,0.0,9.300298286877233,rest
2308,0.2307999999999909,0.0,0.0,False,False,normal,0.0,9.300570116926876,rest
2309,0.2308999999999909,0.0,0.0,False,False,normal,0.0,9.30083650534669,rest
2310,0.23099999999999088,0.0,0.0,False,False,normal,0.0,9.301096205509806,rest
2311,0.23109999999999087,0.0,0.0,False,False,normal,0.0,9.30134954662774,rest
2312,0.23119999999999086,0.0,0.0,False,False,normal,0.0,9.30159674435798,rest
2313,0.23129999999999085,0.0,0.0,False,False,normal,0.0,9.301841493787926,rest
2314,0.23139999999999084,0.0,0.0,False,False,normal,0.0,9.30208909096333,rest
2315,0.23149999999999082,0.0,0.0,False,False,normal,0.0,9.302343616889925,rest
2316,0.2315999999999908,0.0,0.0,False,False,normal,0.0,9.302604911152843,rest
2317,0.2316999999999908,0.0,0.0,False,False,normal,0.0,9.302870433986882,rest
2318,0.2317999999999908,0.0,0.0,False,False,normal,0.0,9.303137120057443,rest
2319,0.23189999999999078,0.0,0.0,False,False,normal,0.0,9.303402360444416,rest
2320,0.23199999999999077,0.0,0.0,False,False,normal,0.0,9.303664371012154,rest
2321,0.23209999999999076,0.0,0.0,False,False,normal,0.0,9.303922243957407,rest
2322,0.23219999999999075,0.0,0.0,False,False,normal,0.0,9.30417491490471,rest
2323,0.23229999999999074,0.0,0.0,False,False,normal,0.0,9.304425690425699,rest
